id_data,id_transaksi,item,tanggal
1,T000001,Antangin,3/18/2019
2,T000001,Gazero,3/18/2019
3,T000001,Promag Cair,3/18/2019
4,T000001,OBH Kombi,3/18/2019
5,T000001,Novamox,3/18/2019
6,T000001,Masker,3/18/2019
7,T000001,Tespek,3/18/2019
8,T000001,Vitacimin,3/18/2019
9,T000001,Yusimox,3/18/2019
10,T000002,Gom,3/19/2019
11,T000002,Vitacimin,3/19/2019
12,T000002,Biolysin Smart,3/19/2019
13,T000002,Kapas,3/19/2019
14,T000002,Bedak Salycl Kf,3/19/2019
15,T000003,Vitacimin,3/20/2019
16,T000003,Insto,3/20/2019
17,T000003,Solinfee,3/20/2019
18,T000003,Wiros,3/20/2019
19,T000003,Vipcol Syr,3/20/2019
20,T000003,Yusimox,3/20/2019
21,T000003,Novamox,3/20/2019
22,T000003,Baby Cough,3/20/2019
23,T000003,Coparcetin ,3/20/2019
24,T000003,Promag ,3/20/2019
25,T000003,Bioplacenton,3/20/2019
26,T000003,Hansaplas Rol,3/20/2019
27,T000003,Rohto,3/20/2019
28,T000003,Caviplex,3/20/2019
29,T000003,Gratheos,3/20/2019
30,T000003,Hufagrip Bp,3/20/2019
31,T000003,Tespek,3/20/2019
32,T000004,Pilkita,3/21/2019
33,T000004,Gratheos,3/21/2019
34,T000004,Amoxcillin,3/21/2019
35,T000004,Dehista,3/21/2019
36,T000004,Coparcetin,3/21/2019
37,T000004,Pirocicom,3/21/2019
38,T000004,Dexaharsen,3/21/2019
39,T000004,Ranitidin,3/21/2019
40,T000004,Solinfec,3/21/2019
41,T000004,Etambroxol,3/21/2019
42,T000004,Fasidol,3/21/2019
43,T000004,Dulcolax,3/21/2019
44,T000004,Fargetic,3/21/2019
45,T000005,Oralit,3/22/2019
46,T000005,Sangobion,3/22/2019
47,T000005,Paracetamol,3/22/2019
48,T000005,Insto,3/22/2019
49,T000005,Betason,3/22/2019
50,T000005,Capsida,3/22/2019
51,T000005,Demacolin,3/22/2019
52,T000006,Paracetamol,3/23/2019
53,T000006,Yusimox,3/23/2019
54,T000006,Kapas,3/23/2019
55,T000006,Balsem Lang,3/23/2019
56,T000006,Braito,3/23/2019
57,T000006,Antangin,3/23/2019
58,T000006,Amoxcillin,3/23/2019
59,T000006,Vitacimin,3/23/2019
60,T000006,Mycoral,3/23/2019
61,T000006,Kapsa,3/23/2019
62,T000006,Masker,3/23/2019
63,T000006,Farsifen,3/23/2019
64,T000006,Dexaharsen,3/23/2019
65,T000006,Dexometasone,3/23/2019
66,T000006,Coparcetin ,3/23/2019
67,T000006,Caviplex,3/23/2019
68,T000007,Amoxcillin,3/25/2019
69,T000007,Paracetamol,3/25/2019
70,T000007,Vitacimin,3/25/2019
71,T000007,Caviplex,3/25/2019
72,T000007,Boderxin,3/25/2019
73,T000007,Bodrex Bp,3/25/2019
74,T000007,Mixagrip Flu,3/25/2019
75,T000007,Sutra Hitam,3/25/2019
76,T000007,Proris,3/25/2019
77,T000007,Demacolin,3/25/2019
78,T000007,Sanmol,3/25/2019
79,T000007,Herocyn Baby,3/25/2019
80,T000007,Vitaquin,3/25/2019
81,T000007,Broncitin,3/25/2019
82,T000007,PCT,3/25/2019
83,T000007,Coldrexin,3/25/2019
84,T000008,Oralit,3/26/2019
85,T000008,Antangin,3/26/2019
86,T000008,Sangobion,3/26/2019
87,T000008,Minyak Kayu Putih,3/26/2019
88,T000008,Telon Lang,3/26/2019
89,T000008,Mycoral,3/26/2019
90,T000008,Woods,3/26/2019
91,T000008,Hufagrip Flu dan Batuk,3/26/2019
92,T000009,Imunos,3/27/2019
93,T000009,Wiras,3/27/2019
94,T000009,Fasidol,3/27/2019
95,T000009,Fargetix,3/27/2019
96,T000009,Dexaharsen,3/27/2019
97,T000009,Madu Tj,3/27/2019
98,T000009,Vitacimin,3/27/2019
99,T000009,Tolak Angin,3/27/2019
100,T000009,Etamoxol,3/27/2019
101,T000009,Griseofalvin,3/27/2019
102,T000009,Solinfect,3/27/2019
103,T000009,PCT,3/27/2019
104,T000009,Vicks Formula 44  ,3/27/2019
105,T000009,Vicks Formula 44 Anak ,3/27/2019
106,T000009,Handsloond M,3/27/2019
107,T000010,Imunos,3/28/2019
108,T000010,Tera-F,3/28/2019
109,T000010,Broncitin,3/28/2019
110,T000010,Iclitiol,3/28/2019
111,T000010,Griseofalvin,3/28/2019
112,T000010,Centocorazol Cream,3/28/2019
113,T000010,Geliga Cream Otot,3/28/2019
114,T000010,Masker,3/28/2019
115,T000010,Madu Tj,3/28/2019
116,T000010,Guanisrep,3/28/2019
117,T000010,Remafar,3/28/2019
118,T000010,Dexanersen,3/28/2019
119,T000011,Antangin,3/29/2019
120,T000011,Parfum,3/29/2019
121,T000011,Imunos,3/29/2019
122,T000011,Masker,3/29/2019
123,T000011,Dehista,3/29/2019
124,T000011,Vitacimin,3/29/2019
125,T000011,Tespek,3/29/2019
126,T000011,Solinfec,3/29/2019
127,T000011,Sanmol,3/29/2019
128,T000011,Captopril,3/29/2019
129,T000011,Simvastetin,3/29/2019
130,T000011,Coldrexin,3/29/2019
131,T000011,Gratheos,3/29/2019
132,T000011,Cefadroxil,3/29/2019
133,T000011,Mexon,3/29/2019
134,T000011,Dextral,3/29/2019
135,T000012,Infalgin,3/30/2019
136,T000012,Antangin,3/30/2019
137,T000012,Neuralgin,3/30/2019
138,T000012,Dompridone,3/30/2019
139,T000012,Amoxcillin,3/30/2019
140,T000012,Masker,3/30/2019
141,T000012,Dextral,3/30/2019
142,T000012,Sakatonik ABC,3/30/2019
143,T000012,Dexaharsen,3/30/2019
144,T000012,Caviplex,3/30/2019
145,T000012,Fasidol,3/30/2019
146,T000012,Fargetix,3/30/2019
147,T000013,Hufagrip,3/31/2019
148,T000013,Daktarin,3/31/2019
149,T000013,Vitacimin,3/31/2019
150,T000013,Freshcare,3/31/2019
151,T000013,Mycoral,3/31/2019
152,T000013,Hydrocortisone Cream,3/31/2019
153,T000013,Madu Tj,3/31/2019
154,T000013,Tissue Magic,3/31/2019
155,T000013,Griseofalvin,3/31/2019
156,T000013,Rekotonazole,3/31/2019
157,T000013,Tespek,3/31/2019
158,T000013,Vosea,3/31/2019
159,T000013,Antangin,3/31/2019
160,T000013,Dexonta,3/31/2019
161,T000013,Baby Cough,3/31/2019
162,T000013,Yusimox,3/31/2019
163,T000013,Etamoxol,3/31/2019
164,T000013,Grathazone,3/31/2019
165,T000014,Amoxcillin,4/1/2019
166,T000014,Paracetamol,4/1/2019
167,T000014,Atmacid,4/1/2019
168,T000014,Sangobion,4/1/2019
169,T000014,Curvit,4/1/2019
170,T000014,Simuastatin,4/1/2019
171,T000014,Cataflam,4/1/2019
172,T000014,Voltadex,4/1/2019
173,T000014,Natur-E,4/1/2019
174,T000014,Vitacimin,4/1/2019
175,T000014,Enervon-C,4/1/2019
176,T000014,Wiros,4/1/2019
177,T000014,Novamox,4/1/2019
178,T000014,Grathazone,4/1/2019
179,T000015,Tespek,4/2/2019
180,T000015,Hufagrip,4/2/2019
181,T000015,Wiros,4/2/2019
182,T000015,Grathazone,4/2/2019
183,T000015,Novamox,4/2/2019
184,T000015,Yusimox,4/2/2019
185,T000015,Infus,4/2/2019
186,T000015,Ceterizin,4/2/2019
187,T000015,Rhamafar,4/2/2019
188,T000015,Vital,4/2/2019
189,T000015,Etamoxol,4/2/2019
190,T000015,Insto,4/2/2019
191,T000015,Potaflam,4/2/2019
192,T000015,Vicks,4/2/2019
193,T000015,Teosol,4/2/2019
194,T000015,Hufaqesi,4/2/2019
195,T000015,Dexanta,4/2/2019
196,T000015,Fulcadex,4/2/2019
197,T000015,Pimtrakol,4/2/2019
198,T000015,Spuit,4/2/2019
199,T000015,Mixalgin,4/2/2019
200,T000015,Andalan,4/2/2019
201,T000015,Alravit,4/2/2019
202,T000015,Novapiron,4/2/2019
203,T000015,Renabetic,4/2/2019
204,T000015,Farizol,4/2/2019
205,T000015,Farsifen,4/2/2019
206,T000015,Folxigra,4/2/2019
207,T000015,Citirizin,4/2/2019
208,T000015,Salbutamol,4/2/2019
209,T000015,Baby Cough,4/2/2019
210,T000015,Fasidol,4/2/2019
211,T000015,Cerzin,4/2/2019
212,T000015,Nestacort Cream,4/2/2019
213,T000015,Mexon,4/2/2019
214,T000015,Decolsin,4/2/2019
215,T000015,Alofar,4/2/2019
216,T000016,Neo Nafasin,4/3/2019
217,T000016,Mixagrip,4/3/2019
218,T000016,Mylanta,4/3/2019
219,T000016,Lacyo-B,4/3/2019
220,T000016,Neo Potified,4/3/2019
221,T000016,Vitacimin,4/3/2019
222,T000016,Imboost,4/3/2019
223,T000016,Hufagesix,4/3/2019
224,T000016,Madu Tj,4/3/2019
225,T000016,Hansaplas Rol,4/3/2019
226,T000016,Piroxicam,4/3/2019
227,T000016,Antangin,4/3/2019
228,T000017,Ana Konidin,4/4/2019
229,T000017,Jaguar,4/4/2019
230,T000017,Mycoral,4/4/2019
231,T000017,Vipcol,4/4/2019
232,T000017,Yusimox,4/4/2019
233,T000017,Novamox,4/4/2019
234,T000017,Baby Cough,4/4/2019
235,T000017,Lokev,4/4/2019
236,T000017,Grathazone,4/4/2019
237,T000017,Fasidol,4/4/2019
238,T000017,Hufanoxil,4/4/2019
239,T000017,Hufagrip,4/4/2019
240,T000017,Dextral,4/4/2019
241,T000017,Masker,4/4/2019
242,T000017,Zink Kid,4/4/2019
243,T000018,Farsiven,4/5/2019
244,T000018,Simvastatin,4/5/2019
245,T000018,Alovar,4/5/2019
246,T000018,Bronchitin,4/5/2019
247,T000018,Vitacimin,4/5/2019
248,T000018,Cataflam,4/5/2019
249,T000018,Ultrasilline,4/5/2019
250,T000018,Bevalex,4/5/2019
251,T000019,Atmacid ,4/6/2019
252,T000019,Revanol,4/6/2019
253,T000019,Madu Tj,4/6/2019
254,T000019,Vipcol,4/6/2019
255,T000019,Xendo Citrol,4/6/2019
256,T000019,Solinfec,4/6/2019
257,T000019,Vicine,4/6/2019
258,T000019,Hansaplas Rol,4/6/2019
259,T000019,Vitacimin,4/6/2019
260,T000019,Fitkom,4/6/2019
261,T000019,Yusimox,4/6/2019
262,T000019,Molacort,4/6/2019
263,T000019,Dehista,4/6/2019
264,T000019,OBH Combi,4/6/2019
265,T000019,Termo Digital,4/6/2019
266,T000019,Amlodipine,4/6/2019
267,T000019,Jaguar,4/6/2019
268,T000019,Herocyn,4/6/2019
269,T000019,Nestacort Cream,4/6/2019
270,T000019,Cetirizin,4/6/2019
271,T000019,Counterpain,4/6/2019
272,T000019,Pimtrakol,4/6/2019
273,T000019,Demacolin,4/6/2019
274,T000019,Telon Lang ,4/6/2019
275,T000019,Kapas,4/6/2019
276,T000019,Pagoda Salep,4/6/2019
277,T000019,Etabroxol,4/6/2019
278,T000019,Tespek,4/6/2019
279,T000019,Wiros,4/6/2019
280,T000019,Antangin,4/6/2019
281,T000019,Dexaharsen,4/6/2019
282,T000019,Fresh Care,4/6/2019
283,T000019,Baybey Piper,4/6/2019
