id_data,id_transaksi,item,tanggal
1,T000044,OBH Combi,5/1/2019
2,T000044,Tespek,5/1/2019
3,T000044,Microlax,5/1/2019
4,T000044,Salbutamol,5/1/2019
5,T000044,Masker,5/1/2019
6,T000044,Laserin,5/1/2019
7,T000044,Vitacimin,5/1/2019
8,T000044,Alofar,5/1/2019
9,T000044,Meloxicam,5/1/2019
10,T000044,Amiodifin,5/1/2019
11,T000044,FG Troches,5/1/2019
12,T000044,Hufagesic,5/1/2019
13,T000044,Sari Kurma,5/1/2019
14,T000044,Cataflam,5/1/2019
15,T000044,Amoxcillin,5/1/2019
16,T000044,Paracetamol,5/1/2019
17,T000044,PK,5/1/2019
18,T000044,Scabinit,5/1/2019
19,T000044,Dexahae,5/1/2019
20,T000044,Cetirizin,5/1/2019
21,T000044,Dexaharsen,5/1/2019
22,T000044,Super Tetra,5/1/2019
23,T000044,Gratheos,5/1/2019
24,T000044,Fargetik,5/1/2019
25,T000044,Imboost,5/1/2019
26,T000044,Demacolin,5/1/2019
27,T000044,Salonpas,5/1/2019
28,T000045,Vutacimin,5/2/2019
29,T000045,Livron,5/2/2019
30,T000045,Lerzin,5/2/2019
31,T000045,Molacort,5/2/2019
32,T000045,Wiros,5/2/2019
33,T000045,Mycoral,5/2/2019
34,T000045,Kondom,5/2/2019
35,T000045,Kasa One,5/2/2019
36,T000045,Revanol,5/2/2019
37,T000045,Termorex Plus,5/2/2019
38,T000045,Strepsil,5/2/2019
39,T000045,Sanmol,5/2/2019
40,T000045,Griseofalvin,5/2/2019
41,T000045,Plester Roll,5/2/2019
42,T000045,Zensoderm,5/2/2019
43,T000045,Masker,5/2/2019
44,T000045,Paramex,5/2/2019
45,T000045,Kalpanak,5/2/2019
46,T000045,Dehista,5/2/2019
47,T000045,Etambroxol,5/2/2019
48,T000045,Pimtrakol,5/2/2019
49,T000045,Grathazone,5/2/2019
50,T000045,Licofel,5/2/2019
51,T000045,Simuastatin,5/2/2019
52,T000045,Farsifen,5/2/2019
53,T000045,Alofar,5/2/2019
54,T000046,Imboost,5/3/2019
55,T000046,Tespek,5/3/2019
56,T000046,Counterpain,5/3/2019
57,T000046,Vicks Formula 44,5/3/2019
58,T000046,Lostacef,5/3/2019
59,T000046,Grantusif,5/3/2019
60,T000046,Masker,5/3/2019
61,T000046,Vipcol,5/3/2019
62,T000046,Strepsil,5/3/2019
63,T000046,Ambroxol,5/3/2019
64,T000046,Sangobion,5/3/2019
65,T000046,Ranitidin ,5/3/2019
66,T000046,Vitacimin,5/3/2019
67,T000046,Promag,5/3/2019
68,T000046,Colidium,5/3/2019
69,T000046,Caladin,5/3/2019
70,T000046,Spuit,5/3/2019
71,T000046,Lerzin,5/3/2019
72,T000046,Madu TJ,5/3/2019
73,T000046,Pagoda Salep,5/3/2019
74,T000046,Combantrin,5/3/2019
75,T000046,Kalpanak,5/3/2019
76,T000046,Baby Cough,5/3/2019
77,T000046,Mycoral,5/3/2019
78,T000046,Tera-F,5/3/2019
79,T000046,Teosal,5/3/2019
80,T000046,Molacort,5/3/2019
81,T000046,Lokev,5/3/2019
82,T000046,Hufagrip,5/3/2019
83,T000046,Betasone,5/3/2019
84,T000046,Farsifen,5/3/2019
85,T000046,Pilkita,5/3/2019
86,T000046,Procold,5/3/2019
87,T000046,Fitkom,5/3/2019
88,T000046,Amoxcillin,5/3/2019
89,T000046,Licofel,5/3/2019
90,T000046,Carbidu,5/3/2019
91,T000046,OBH Combi,5/3/2019
92,T000047,Balsem Otot Geliga,5/4/2019
93,T000047,Dextral,5/4/2019
94,T000047,Masker,5/4/2019
95,T000047,Ponstan,5/4/2019
96,T000047,Bye bye Fever,5/4/2019
97,T000047,Braito,5/4/2019
98,T000047,Wiros,5/4/2019
99,T000047,Molacort,5/4/2019
100,T000047,Colidium,5/4/2019
101,T000047,Diapet,5/4/2019
102,T000047,Super Tetra,5/4/2019
103,T000047,Antimo,5/4/2019
104,T000047,Counterpain,5/4/2019
105,T000047,Dexaharsen,5/4/2019
106,T000047,Antangin,5/4/2019
107,T000047,Farmoten ,5/4/2019
108,T000047,Bedak Salycl,5/4/2019
109,T000047,Siladex,5/4/2019
110,T000047,Grafachlor,5/4/2019
111,T000047,Solinfec,5/4/2019
112,T000047,Menses,5/4/2019
113,T000047,Vitacimin,5/4/2019
114,T000047,Santadex,5/4/2019
115,T000047,Captopril,5/4/2019
116,T000047,Nestacort,5/4/2019
117,T000048,Pimtrakol,5/5/2019
118,T000048,Vitacimin,5/5/2019
119,T000048,FG Troches,5/5/2019
120,T000048,Dexaharsen,5/5/2019
121,T000048,Licofel,5/5/2019
122,T000048,Potaflam,5/5/2019
123,T000048,Piroxicam,5/5/2019
124,T000048,Floxigra,5/5/2019
125,T000048,Mexon,5/5/2019
126,T000048,Hestacort,5/5/2019
127,T000048,Baby Cough,5/5/2019
128,T000048,Balsem Lang,5/5/2019
129,T000048,Yusimox,5/5/2019
130,T000048,Masker,5/5/2019
131,T000048,Vosen,5/5/2019
132,T000048,Biomega,5/5/2019
133,T000048,Promag,5/5/2019
134,T000048,Fasidol Forte,5/5/2019
135,T000048,Imboost,5/5/2019
136,T000048,Hufagrip,5/5/2019
137,T000048,Fitkom,5/5/2019
138,T000048,Bodrex,5/5/2019
139,T000049,Masker ,5/6/2019
140,T000049,Simuastatin,5/6/2019
141,T000049,Ranitidin ,5/6/2019
142,T000049,Mylanta,5/6/2019
143,T000049,Mycoral,5/6/2019
144,T000049,Livron,5/6/2019
145,T000049,Promag,5/6/2019
146,T000049,Antasida,5/6/2019
147,T000049,Cetirizin,5/6/2019
148,T000049,Tremenza ,5/6/2019
149,T000049,Wiros,5/6/2019
150,T000049,Carbidu,5/6/2019
151,T000049,Spet,5/6/2019
152,T000049,Gasela,5/6/2019
153,T000049,Antangin,5/6/2019
154,T000049,Sangobion,5/6/2019
155,T000049,Curcuma Plus,5/6/2019
156,T000049,Fresh Care,5/6/2019
157,T000049,Caviplex,5/6/2019
158,T000049,Mucos,5/6/2019
