id_data,id_transaksi,item,tanggal
1,T000001,Croissant Butter,
2,T000001,Tawar Kupas Kulit,
3,T000002,Danis Kismis,
4,T000002,Croissant Cokelat,
5,T000003,Roti Cokelat Dream,
6,T000003,Roti Kari Ayam,
7,T000003,American Bread,
8,T000004,Rotu Abon Ayam,
9,T000004,Roti Ayam Lemper,
10,T000004,Tawar Kupas Kulit,
11,T000005,Tawar Kupas Kulit,
12,T000005,Tawar Besar,
13,T000006,Roti Pisang Cokelat,
14,T000006,Roti Ayam Lemper,
15,T000007,Tawar Morning,
16,T000007,Tawar Kupas Kulit,
17,T000008,Tawar Kupas Kulit,
18,T000008,Tawar Gandum,
19,T000008,Tawar Kismis,
20,T000009,Tawar Kupas Kulit,
21,T000009,Tawar Besar,
22,T000010,Tawar Besar,
23,T000010,Tawar Kupas Kulit,
24,T000011,Tawar Kismis,
25,T000011,Tawar Gandum,
26,T000012,Tawar Besar,
27,T000012,Tawar Casino,
28,T000012,Tawar Kupas Kulit,
29,T000013,Tawar Keju Cokelat,
30,T000013,Tawar Kupas Kulit,
31,T000013,Roti Hotdog,
32,T000014,Roti Panggang,
33,T000014,Tawar Kupas Kulit,
34,T000014,Roti Hotdog,
35,T000015,Roti Coffee,
36,T000015,Roti Cokelat,
37,T000015,Roti Srikaya,
38,T000015,roti Kacang Merah,
39,T000016,Tawar Kupas Kulit,
40,T000016,Tawar Besar,
41,T000016,Tawar Gandum,
42,T000017,Tawar Besar,
43,T000017,Tawar Kupas Kulit,
44,T000018,Tawar Kupas Kulit,
45,T000018,Tawar Casino,
46,T000019,Tawar Gandum,
47,T000019,Tawar Kismis,
48,T000019,Tawar Kupas Kulit,
49,T000020,Roti Kacang Merah,
50,T000020,Roti Kari Ayam,
51,T000021,Tawar Casino,
52,T000021,Tawar Keju Cokelat,
53,T000021,Tawar Kupas Kulit,
54,T000022,Tawar Kupas Kulit,
55,T000022,Roti Burger,
56,T000022,Roti Hotdog,
57,T000023,Tawar Keju Cokelat,
58,T000023,Roti Keju Manis,
59,T000024,Tawar Kupas Kulit,
60,T000024,Roti Panggang,
61,T000025,Tawar Kupas Kulit,
62,T000025,Roti Custrad,
63,T000025,Roti Abon Ayam,
64,T000026,Tawar Kecil,
65,T000026,Tawar Kupas Kulit,
66,T000027,Roti Burger,
67,T000027,Roti Hotdog,
68,T000027,Croissant Cokelat,
69,T000028,Croissant Butter,
70,T000028,Croissant Cokelat,
71,T000028,Danis Kismis,
72,T000029,Roti Abon Ayam,
73,T000029,Roti Ayam Lemper,
74,T000029,Roti Bluberry,
75,T000029,Roti Cokelat Chips,
76,T000030,Roti Cokelat Dream,
77,T000030,Roti Abon Ayam,
78,T000030,Tawar Kupas Kulit,
79,T000031,Roti Ayam Lemper,
80,T000031,Roti Abon Ayam,
81,T000031,Roti Pisang Cokelat,
82,T000032,Tawar Morning,
83,T000032,American Bread,
84,T000032,Roti Nenas,
85,T000033,Tawar Kupas Kulit,
86,T000033,Tawar Besar,
87,T000033,American Bread,
88,T000034,Tawar Kupas Kulit,
89,T000034,Tawar Besar,
90,T000035,Roti Abon Ayam,
91,T000035,Roti Cream Cheese,
92,T000035,Roti Cokelat,
93,T000036,Roti Custrad,
94,T000036,Tawar Kupas Kulit,
95,T000037,Roti Sisir,
96,T000037,Roti Srikaya,
97,T000038,Roti Tuna,
98,T000038,Roti Coffee,
99,T000038,Roti Keju Manis,
100,T000039,Roti Coffee,
101,T000039,Roti Abon Ayam,
102,T000039,Roti Pisang Cokelat,
103,T000040,Tawar Besar,
104,T000040,Tawar Gandum,
105,T000040,Roti Cokelat,
106,T000041,Tawar Kismis,
107,T000041,Tawar Casino,
108,T000042,Tawar Kupas Kulit,
109,T000042,Tawar Besar,
110,T000043,Tawar Kupas Kulit,
111,T000043,Tawar Kismis,
112,T000044,Roti Keju Manis,
113,T000044,Roti Nenas,
114,T000044,Roti Srikaya,
115,T000045,Tawar Kecil,
116,T000045,Tawar Kupas Kulit,
117,T000046,Tawar Gandum,
118,T000046,Tawar Kismis,
119,T000046,Tawar Kupas Kulit,
120,T000047,Tawar Kupas Kulit,
121,T000047,Roti Panggang,
122,T000048,Tawar Besar,
123,T000048,Tawar Gandum,
124,T000048,Tawar Casino,
125,T000049,Tawar Keju Cokelat,
126,T000049,Tawar Kupas Kulit,
127,T000050,Tawar Kupas Kulit,
128,T000050,Roti Coffee,
129,T000051,Roti Kelapa Inti,
130,T000051,Roti Bluberry,
131,T000052,Roti Srikaya,
132,T000052,Tawar Besar,
133,T000053,Roti Cokelat Dream,
134,T000053,Roti Abon Ayam,
135,T000054,Roti Abon Ayam,
136,T000054,Roti Keju Manis,
137,T000055,Roti Nenas,
138,T000055,Tawar Kupas Kulit,
139,T000056,Roti Mocca,
140,T000056,Roti Nenas,
141,T000056,American Bread,
142,T000057,Roti Coffee,
143,T000057,Roti Kacang Cokelat,
144,T000058,Roti Custrad,
145,T000058,Roti Kacang Cokelat,
146,T000059,Roti Pisang Cokelat,
147,T000059,Roti Mocca,
148,T000060,Tawar Besar,
149,T000060,Tawar Casino,
150,T000061,Tawar Kupas Kulit,
151,T000061,Roti Mocca,
152,T000062,Roti Ayam Lemper,
153,T000062,Roti Nenas,
154,T000063,Roti Kacang Cokelat,
155,T000063,Tawar Gandum,
156,T000064,Tawar Kecil,
157,T000064,Tawar Kupas Kulit,
158,T000065,Tawar Gandum,
159,T000065,Tawar Kismis,
160,T000065,Tawar Kupas Kulit,
161,T000066,Tawar Kupas Kulit,
162,T000066,Roti Panggang,
163,T000067,Roti Coffee,
164,T000067,Roti Abon Ayam,
165,T000067,Roti Pisang Cokelat,
166,T000068,Tawar Besar,
167,T000068,Tawar Gandum,
168,T000068,Roti Cokelat,
169,T000069,Tawar Kismis,
170,T000069,Tawar Casino,
171,T000070,Tawar Kecil,
172,T000070,Tawar Besar,
173,T000071,Tawar Kupas Kulit,
174,T000071,Tawar Casino,
175,T000072,Roti Burger,
176,T000072,Roti Hotdog,
177,T000073,Roti Hotdog,
178,T000073,Tawar Kupas Kulit,
179,T000074,Roti Abon Ayam,
180,T000074,Roti Pisang Cokelat,
181,T000075,Roti Coffee,
182,T000075,Tawar Keju Cokelat,
183,T000075,Tawar Kupas Kulit,
184,T000076,Tawar Kecil,
185,T000076,Tawar Kupas Kulit,
186,T000077,Tawar Besar,
187,T000077,Roti Burger,
188,T000078,Tawar Keju Cokelat,
189,T000078,Tawar Gandum,
190,T000079,Roti Panggang,
191,T000079,Tawar Kupas Kulit,
192,T000079,Roti Hotdog,
193,T000080,Roti Coffee,
194,T000080,Roti Cokelat ,
195,T000080,Roti Srikaya,
196,T000080,Roti Kacang Merah,
197,T000081,Tawar Kupas Kulit,
198,T000081,Tawar Besar,
199,T000081,Tawar Gandum,
200,T000082,Tawar Besar,
201,T000082,Tawar Kupas Kulit,
202,T000083,Tawar Kupas Kulit,
203,T000083,Tawar Casino,
204,T000084,Tawar Gandum,
205,T000084,Tawar Kismis,
206,T000084,Tawar Kupas Kulit,
207,T000085,Roti Kacang Merah,
208,T000085,Roti Kari Ayam,
209,T000086,Tawar Casino,
210,T000086,Tawar Keju Cokelat,
211,T000086,Tawar Kupas Kulit,
212,T000087,Tawar Kupas Kulit,
213,T000087,Roti Burger,
214,T000087,Roti Hotdog,
215,T000088,Roti Panggang,
216,T000088,Tawar Kupas Kulit,
217,T000088,Roti Hotdog,
218,T000089,Roti Coffee,
219,T000089,Roti Cokelat,
220,T000089,Roti Srikaya,
221,T000089,Roti Kacang Merah,
222,T000090,Tawar Kupas Kulit,
223,T000090,Tawar Besar,
224,T000090,Tawar Gandum,
225,T000091,Roti Keju Manis,
226,T000091,Roti Cokelat Dream,
227,T000092,Tawar Besar,
228,T000092,Tawar Gandum,
229,T000092,Roti Cokelat,
230,T000093,Roti Burger,
231,T000093,Roti Hotdog,
232,T000094,Tawar Keju Cokelat,
233,T000094,Roti Abon Ayam,
234,T000095,Tawar Kupas Kulit,
235,T000095,Roti Panggang,
236,T000096,Tawar Kupas Kulit,
237,T000096,Roti Custrad,
238,T000096,Roti Abon Ayam,
239,T000097,Tawar Kecil,
240,T000097,Tawar Kupas Kulit,
241,T000098,Roti Burger,
