id_data,id_transaksi,item,tanggal
1,T000001,3 PANK,5/1/2020
2,T000002,ADIYAT,5/1/2020
3,T000003,ADONIS,5/1/2020
4,T000004,AGREE,5/1/2020
5,T000005,AGREE KIDS,5/1/2020
6,T000006,3 PANK,5/2/2020
7,T000007,ADONIS,5/2/2020
8,T000008,AG,5/2/2020
9,T000009,AGREE,5/2/2020
10,T000010,AGREE KIDS,5/2/2020
11,T000011,3 PANK,5/3/2020
12,T000012,ADIYAT,5/3/2020
13,T000013,AG,5/3/2020
14,T000014,AGREE,5/3/2020
15,T000015,AGREE KIDS,5/3/2020
16,T000016,3 PANK,5/4/2020
17,T000017,ADIYAT,5/4/2020
18,T000018,ADONIS,5/4/2020
19,T000019,AG,5/4/2020
20,T000020,AGREE,5/4/2020
21,T000021,3 PANK,5/5/2020
22,T000022,AG,5/5/2020
23,T000023,AGREE,5/5/2020
24,T000024,AGREE KIDS,5/5/2020
25,T000025,AKBAR,5/5/2020
26,T000026,3 PANK,5/6/2020
27,T000027,ADIYAT,5/6/2020
28,T000028,AG,5/6/2020
29,T000029,AGREE,5/6/2020
30,T000030,AGREE KIDS,5/6/2020
31,T000031,3 PANK,5/7/2020
32,T000032,ADEEVHA,5/7/2020
33,T000033,ADIYAT,5/7/2020
34,T000034,AG,5/7/2020
35,T000035,AGREE,5/7/2020
36,T000036,3 PANK,5/8/2020
37,T000037,ADONIS,5/8/2020
38,T000038,AG,5/8/2020
39,T000039,AGREE,5/8/2020
40,T000040,AKBAR,5/8/2020
41,T000041,AG,5/9/2020
42,T000042,AGREE,5/9/2020
43,T000043,AGREE KIDS,5/9/2020
44,T000044,AKBAR,5/9/2020
45,T000045,ALFA,5/9/2020
46,T000046,3 PANK,5/10/2020
47,T000047,ADEEVHA,5/10/2020
48,T000048,ADIYAT,5/10/2020
49,T000049,AG,5/10/2020
50,T000050,AGAPE 88,5/10/2020
51,T000051,3 PANK,5/11/2020
52,T000052,ADIYAT,5/11/2020
53,T000053,AG,5/11/2020
54,T000054,AGREE,5/11/2020
55,T000055,AGREE KIDS,5/11/2020
56,T000056,AG,5/11/2020
57,T000057,AGREE,5/12/2020
58,T000058,AGREE KIDS,5/12/2020
59,T000059,AKBAR,5/12/2020
60,T000060,ALFA,5/12/2020
