id_data,id_transaksi,item,tanggal
1,T000001,3 PANK,5/1/2020
2,T000001,ADIYAT,5/1/2020
3,T000001,ADONIS,5/1/2020
4,T000001,AGREE,5/1/2020
5,T000001,AGREE KIDS,5/1/2020
6,T000001,AKBAR,5/1/2020
7,T000001,ALENA,5/1/2020
8,T000001,ALFINA,5/1/2020
9,T000001,ALGIM,5/1/2020
10,T000001,AL HUDA,5/1/2020
11,T000001,ALISAN,5/1/2020
12,T000001,ALKALINE,5/1/2020
13,T000001,AL LUTHFI,5/1/2020
14,T000001,ANDREAN,5/1/2020
15,T000001,B6,5/1/2020
16,T000001,BANKERS,5/1/2020
17,T000001,BASTOH,5/1/2020
18,T000001,BELLE,5/1/2020
19,T000001,BINA KIDS,5/1/2020
20,T000001,BLACKLINE,5/1/2020
21,T000001,BLESSING,5/1/2020
22,T000001,BOMBI,5/1/2020
23,T000001,BOM KIDS,5/1/2020
24,T000001,BOSHA,5/1/2020
25,T000001,CAMOMILE,5/1/2020
26,T000001,CAMPUR,5/1/2020
27,T000001,C & C,5/1/2020
28,T000001,CENELEA,5/1/2020
29,T000001,CHRISTA,5/1/2020
30,T000001,CICI CACA,5/1/2020
31,T000001,CITRA AGUNG,5/1/2020
32,T000001,C & J,5/1/2020
33,T000001,CJ97,5/1/2020
34,T000001,COLLA BEAR,5/1/2020
35,T000001,COTTON BAY,5/1/2020
36,T000001,COUNTRI DOY,5/1/2020
37,T000001,CR 8,5/1/2020
38,T000001,CREATIVE ING,5/1/2020
39,T000001,DALTON,5/1/2020
40,T000001,DANCUS,5/1/2020
41,T000001,DAVICI,5/1/2020
42,T000001,DAXICLAVE,5/1/2020
43,T000001,D & C,5/1/2020
44,T000001,DCB,5/1/2020
45,T000001,DISNEY,5/1/2020
46,T000001,DIVES,5/1/2020
47,T000001,DJ KIDS,5/1/2020
48,T000001,DOMINO,5/1/2020
49,T000001,D ONE,5/1/2020
50,T000001,DOP 69,5/1/2020
51,T000001,DRAKAR,5/1/2020
52,T000001,DRAKAR GOLD,5/1/2020
53,T000001,D & S,5/1/2020
54,T000001,DTC,5/1/2020
55,T000001,DUCHIES,5/1/2020
56,T000001,DVL,5/1/2020
57,T000001,EDIBLE CRAB,5/1/2020
58,T000001,ENAM SAUDARA,5/1/2020
59,T000001,ENDLESS,5/1/2020
60,T000001,EVO,5/1/2020
61,T000001,EXPLOSION,5/1/2020
62,T000001,FACHAI,5/1/2020
63,T000001,FILI MILI,5/1/2020
64,T000001,F ONE,5/1/2020
65,T000001,GAP,5/1/2020
66,T000001,GELSI,5/1/2020
67,T000001,GEN LUIS,5/1/2020
68,T000001,GLORY,5/1/2020
69,T000001,GOLDEN NICK,5/1/2020
70,T000001,GT MAN,5/1/2020
71,T000001,GUPA,5/1/2020
72,T000001,HAMSTER,5/1/2020
73,T000001,HERSEASON,5/1/2020
74,T000001,HMV,5/1/2020
75,T000001,HOK HU,5/1/2020
76,T000001,HONGKONG,5/1/2020
77,T000001,HU 68,5/1/2020
78,T000001,HUKY,5/1/2020
79,T000001,IGNITE,5/1/2020
80,T000001,ILUHFA,5/1/2020
81,T000001,IMPORT,5/1/2020
82,T000001,INCOME,5/1/2020
83,T000001,IN GLAD,5/1/2020
84,T000001,IN STYLE,5/1/2020
85,T000001,INTRICT,5/1/2020
86,T000001,INVITE,5/1/2020
87,T000001,IRLIE,5/1/2020
88,T000001,ISBATH,5/1/2020
89,T000001,JINGLE,5/1/2020
90,T000001,JOEYI,5/1/2020
91,T000001,JONEA,5/1/2020
92,T000001,JONEAA,5/1/2020
93,T000001,JUFITA,5/1/2020
94,T000001,JUNYIP,5/1/2020
95,T000001,JUSTIN KIDS,5/1/2020
96,T000001,KALYA,5/1/2020
97,T000001,KANTONG BELANJA,5/1/2020
98,T000001,KATL,5/1/2020
99,T000001,KENCANA UNGU,5/1/2020
100,T000001,KENDY,5/1/2020
101,T000001,KERTAS REGISTER,5/1/2020
102,T000001,KIDO,5/1/2020
103,T000001,KUKU DUCK,5/1/2020
104,T000001,LEEKEP,5/1/2020
105,T000001,LEMON,5/1/2020
106,T000001,LENGKONG,5/1/2020
107,T000001,LEXI,5/1/2020
108,T000001,LEXI KIDS,5/1/2020
109,T000001,LF ALFINA,5/1/2020
110,T000001,LIASON,5/1/2020
111,T000001,LILI,5/1/2020
112,T000001,LIS,5/1/2020
113,T000001,LITTLE LAMB,5/1/2020
114,T000001,LOGIM,5/1/2020
115,T000001,LUSTY BUNNY,5/1/2020
116,T000001,LYDYLY,5/1/2020
117,T000001,M231,5/1/2020
118,T000001,M33,5/1/2020
119,T000001,MAMBO,5/1/2020
120,T000001,MAMMON,5/1/2020
121,T000001,M&B,5/1/2020
122,T000001,MEILY,5/1/2020
123,T000001,MELISSA,5/1/2020
124,T000001,MICHELLA,5/1/2020
125,T000001,MISSLILY,5/1/2020
126,T000001,MOMGIFT,5/1/2020
127,T000001,MOON GIRL,5/1/2020
128,T000001,MORADEZ,5/1/2020
129,T000001,MORATTA,5/1/2020
130,T000001,MRS CHOCOLATE,5/1/2020
131,T000001,M ZONE,5/1/2020
132,T000001,NATHANIAH,5/1/2020
133,T000001,NAVARO,5/1/2020
134,T000001,NEW B,5/1/2020
135,T000001,OCEAN,5/1/2020
136,T000001,OPTION,5/1/2020
137,T000001,OUTCLASS,5/1/2020
138,T000001,PASSHOP,5/1/2020
139,T000001,PENTHOUSE,5/1/2020
140,T000001,PIERE NADIN,5/1/2020
141,T000001,PIGANO,5/1/2020
142,T000001,PINSON,5/1/2020
143,T000001,PLAY HOUS CLUB,5/1/2020
144,T000001,PUBLIC,5/1/2020
145,T000001,PUMPKIN,5/1/2020
146,T000001,QA,5/1/2020
147,T000001,QHAELA,5/1/2020
148,T000001,QZ,5/1/2020
149,T000001,RECOMENT,5/1/2020
150,T000001,REDZONE,5/1/2020
151,T000001,RELVIN,5/1/2020
152,T000001,RIA BATIK,5/1/2020
153,T000001,RIA JAYA,5/1/2020
154,T000001,RIVENDELL,5/1/2020
155,T000001,ROXELD,5/1/2020
156,T000001,SAM N GRACE,5/1/2020
157,T000001,SCELTA,5/1/2020
158,T000001,SEASON,5/1/2020
159,T000001,SELIA,5/1/2020
160,T000001,SEM,5/1/2020
161,T000001,SENKONG,5/1/2020
162,T000001,S FIX,5/1/2020
163,T000001,SHIRTOLOGY,5/1/2020
164,T000001,SIAUSAN,5/1/2020
165,T000001,SIGNARICA,5/1/2020
166,T000001,SINAR MAKMUR,5/1/2020
167,T000001,SINFUNG,5/1/2020
168,T000001,SKYGEN,5/1/2020
169,T000001,SOREX,5/1/2020
170,T000001,SP,5/1/2020
171,T000001,SPORT,5/1/2020
172,T000001,STABLE,5/1/2020
173,T000001,SUMBER MAS,5/1/2020
174,T000001,SUN CITY,5/1/2020
175,T000001,SUPER KIDZ,5/1/2020
176,T000001,S & W,5/1/2020
177,T000001,SYL,5/1/2020
178,T000001,THATYA ,5/1/2020
179,T000001,THREE,5/1/2020
180,T000001,TIARA,5/1/2020
181,T000001,TIC TAC,5/1/2020
182,T000001,TOP FASHION,5/1/2020
183,T000001,TRIPLE M,5/1/2020
184,T000001,TWO JUMBO,5/1/2020
185,T000001,UIS,5/1/2020
186,T000001,UL KIDS,5/1/2020
187,T000001,UMAMA,5/1/2020
188,T000001,U RIGHT,5/1/2020
189,T000001,VAVA,5/1/2020
190,T000001,VENESSA,5/1/2020
191,T000001,VENNY,5/1/2020
192,T000001,VIRON,5/1/2020
193,T000001,W2000,5/1/2020
194,T000001,WALET,5/1/2020
195,T000001,WENDY,5/1/2020
196,T000001,WINPU,5/1/2020
197,T000001,WINS COLLECTION,5/1/2020
198,T000001,XIAOTINGZI,5/1/2020
199,T000001,YALE,5/1/2020
200,T000001,YOUR BEST,5/1/2020
201,T000001,YS,5/1/2020
202,T000001,YUTIND,5/1/2020
203,T000001,ZUCCHINI,5/1/2020
204,T000002,3 PANK,5/2/2020
205,T000002,ADONIS,5/2/2020
206,T000002,AG,5/2/2020
207,T000002,AGREE,5/2/2020
208,T000002,AGREE KIDS,5/2/2020
209,T000002,AKBAR,5/2/2020
210,T000002,ALGIM,5/2/2020
211,T000002,AL HUDA,5/2/2020
212,T000002,ALKALINE,5/2/2020
213,T000002,AL LUTHFI,5/2/2020
214,T000002,AYURA,5/2/2020
215,T000002,AZARA,5/2/2020
216,T000002,BABY BABY,5/2/2020
217,T000002,BANKERS,5/2/2020
218,T000002,BASTOH,5/2/2020
219,T000002,BELLE,5/2/2020
220,T000002,BENEVIS,5/2/2020
