id_data,id_transaksi,item,tanggal
166,T0000014,Paracetamol,4/1/2019
167,T0000014,Atmacid,4/1/2019
168,T0000014,Sangobion,4/1/2019
169,T0000014,Curvit,4/1/2019
170,T0000014,Simuastatin,4/1/2019
171,T0000014,Cataflam,4/1/2019
172,T0000014,Voltadex,4/1/2019
173,T0000014,Natur-E,4/1/2019
174,T0000014,Vitacimin,4/1/2019
175,T0000014,Enervon-C,4/1/2019
176,T0000014,Wiros,4/1/2019
177,T0000014,Novamox,4/1/2019
178,T0000014,Grathazone,4/1/2019
179,T0000015,Tespek,4/2/2019
180,T0000015,Hufagrip,4/2/2019
181,T0000015,Wiros,4/2/2019
182,T0000015,Grathazone,4/2/2019
183,T0000015,Novamox,4/2/2019
184,T0000015,Yusimox,4/2/2019
185,T0000015,Infus,4/2/2019
186,T0000015,Ceterizin,4/2/2019
187,T0000015,Rhamafar,4/2/2019
188,T0000015,Vital,4/2/2019
189,T0000015,Etamoxol,4/2/2019
190,T0000015,Insto,4/2/2019
191,T0000015,Potaflam,4/2/2019
192,T0000015,Vicks,4/2/2019
193,T0000015,Teosol,4/2/2019
194,T0000015,Hufaqesi,4/2/2019
195,T0000015,Dexanta,4/2/2019
196,T0000015,Fulcadex,4/2/2019
197,T0000015,Pimtrakol,4/2/2019
198,T0000015,Spuit,4/2/2019
199,T0000015,Mixalgin,4/2/2019
200,T0000015,Andalan,4/2/2019
201,T0000015,Alravit,4/2/2019
202,T0000015,Novapiron,4/2/2019
203,T0000015,Renabetic,4/2/2019
204,T0000015,Farizol,4/2/2019
205,T0000015,Farsifen,4/2/2019
206,T0000015,Folxigra,4/2/2019
207,T0000015,Citirizin,4/2/2019
208,T0000015,Salbutamol,4/2/2019
209,T0000015,Baby Cough,4/2/2019
210,T0000015,Fasidol,4/2/2019
211,T0000015,Cerzin,4/2/2019
212,T0000015,Nestacort Cream,4/2/2019
213,T0000015,Mexon,4/2/2019
214,T0000015,Decolsin,4/2/2019
215,T0000015,Alofar,4/2/2019
216,T0000016,Neo Nafasin,4/3/2019
217,T0000016,Mixagrip,4/3/2019
218,T0000016,Mylanta,4/3/2019
219,T0000016,Lacyo-B,4/3/2019
220,T0000016,Neo Potified,4/3/2019
221,T0000016,Vitacimin,4/3/2019
222,T0000016,Imboost,4/3/2019
223,T0000016,Hufagesix,4/3/2019
224,T0000016,Madu Tj,4/3/2019
225,T0000016,Hansaplas Rol,4/3/2019
226,T0000016,Piroxicam,4/3/2019
227,T0000016,Antangin,4/3/2019
228,T0000017,Ana Konidin,4/4/2019
229,T0000017,Jaguar,4/4/2019
230,T0000017,Mycoral,4/4/2019
231,T0000017,Vipcol,4/4/2019
232,T0000017,Yusimox,4/4/2019
233,T0000017,Novamox,4/4/2019
234,T0000017,Baby Cough,4/4/2019
235,T0000017,Lokev,4/4/2019
236,T0000017,Grathazone,4/4/2019
237,T0000017,Fasidol,4/4/2019
238,T0000017,Hufanoxil,4/4/2019
239,T0000017,Hufagrip,4/4/2019
240,T0000017,Dextral,4/4/2019
241,T0000017,Masker,4/4/2019
242,T0000017,Zink Kid,4/4/2019
243,T0000018,Farsiven,4/5/2019
244,T0000018,Simvastatin,4/5/2019
245,T0000018,Alovar,4/5/2019
246,T0000018,Bronchitin,4/5/2019
247,T0000018,Vitacimin,4/5/2019
248,T0000018,Cataflam,4/5/2019
249,T0000018,Ultrasilline,4/5/2019
250,T0000018,Bevalex,4/5/2019
251,T0000019,Atmacid ,4/6/2019
252,T0000019,Revanol,4/6/2019
253,T0000019,Madu Tj,4/6/2019
254,T0000019,Vipcol,4/6/2019
255,T0000019,Xendo Citrol,4/6/2019
256,T0000019,Solinfec,4/6/2019
257,T0000019,Vicine,4/6/2019
258,T0000019,Hansaplas Rol,4/6/2019
259,T0000019,Vitacimin,4/6/2019
260,T0000019,Fitkom,4/6/2019
261,T0000019,Yusimox,4/6/2019
262,T0000019,Molacort,4/6/2019
263,T0000019,Dehista,4/6/2019
264,T0000019,OBH Combi,4/6/2019
265,T0000019,Termo Digital,4/6/2019
266,T0000019,Amlodipine,4/6/2019
267,T0000019,Jaguar,4/6/2019
268,T0000019,Herocyn,4/6/2019
269,T0000019,Nestacort Cream,4/6/2019
270,T0000019,Cetirizin,4/6/2019
271,T0000019,Counterpain,4/6/2019
272,T0000019,Pimtrakol,4/6/2019
273,T0000019,Demacolin,4/6/2019
274,T0000019,Telon Lang ,4/6/2019
275,T0000019,Kapas,4/6/2019
276,T0000019,Pagoda Salep,4/6/2019
277,T0000019,Etabroxol,4/6/2019
278,T0000019,Tespek,4/6/2019
279,T0000019,Wiros,4/6/2019
280,T0000019,Antangin,4/6/2019
281,T0000019,Dexaharsen,4/6/2019
282,T0000019,Fresh Care,4/6/2019
283,T0000019,Baybey Piper,4/6/2019
284,T0000019,Vipcol,4/6/2019
285,T0000020,Urinbay,4/7/2019
286,T0000020,Kasa Onemad,4/7/2019
287,T0000020,Masker,4/7/2019
288,T0000020,Lerzin,4/7/2019
289,T0000020,Hufaxol,4/7/2019
290,T0000020,Alkohol,4/7/2019
291,T0000020,Itramol,4/7/2019
292,T0000020,Cateter,4/7/2019
293,T0000020,Tespek,4/7/2019
294,T0000020,Vitacimin,4/7/2019
295,T0000020,Madu Tj ,4/7/2019
296,T0000020,Dexaharsen,4/7/2019
297,T0000020,Hufagrip,4/7/2019
298,T0000020,Simuastatin,4/7/2019
299,T0000020,Salbutamol,4/7/2019
300,T0000020,Mylanta,4/7/2019
301,T0000020,Hufagesic,4/7/2019
302,T0000020,Demacolin,4/7/2019
303,T0000020,Paracetamol,4/7/2019
304,T0000020,Hansaplas Rol,4/7/2019
305,T0000020,Wiros,4/7/2019
306,T0000020,Fasidol Forte,4/7/2019
307,T0000020,Grantusif,4/7/2019
308,T0000020,Amoxcillin,4/7/2019
309,T0000020,Ranitidin,4/7/2019
310,T0000020,Perban Rol,4/7/2019
311,T0000020,Super Tetra,4/7/2019
312,T0000020,Natur-E,4/7/2019
313,T0000020,Mixagrip,4/7/2019
314,T0000020,Procol,4/7/2019
315,T0000020,Amox,4/7/2019
316,T0000020,Fitkom,4/7/2019
317,T0000020,Caviplex,4/7/2019
318,T0000020,Balsem Otot Geliga,4/7/2019
319,T0000021,Bokasi,4/8/2019
320,T0000021,Amoxcillin,4/8/2019
321,T0000021,Hufaxol,4/8/2019
322,T0000021,Paracetamol,4/8/2019
323,T0000021,Lokev,4/8/2019
324,T0000021,Imboost,4/8/2019
325,T0000021,Lerzin,4/8/2019
326,T0000021,Masker,4/8/2019
327,T0000021,Meloxicam,4/8/2019
328,T0000021,Alofart,4/8/2019
329,T0000021,Procold,4/8/2019
330,T0000021,Siladek,4/8/2019
331,T0000021,Vitacimin,4/8/2019
332,T0000021,Vick Inhaler,4/8/2019
333,T0000021,Nesfacort,4/8/2019
334,T0000021,Remafar,4/8/2019
335,T0000021,Wiros,4/8/2019
336,T0000021,Tera-F,4/8/2019
337,T0000021,H Booster,4/8/2019
338,T0000022,Fargetik,4/9/2019
339,T0000022,Vitacimin,4/9/2019
340,T0000022,Super Tetra,4/9/2019
341,T0000022,Amoxcillin,4/9/2019
342,T0000022,Omeprazole,4/9/2019
343,T0000022,Mylanta,4/9/2019
344,T0000022,Infalgin,4/9/2019
345,T0000022,Dexaharsen,4/9/2019
346,T0000022,Dehista,4/9/2019
347,T0000022,Tera-F,4/9/2019
348,T0000022,Masker,4/9/2019
349,T0000022,Lerzin,4/9/2019
350,T0000022,YUsimox,4/9/2019
351,T0000022,PK,4/9/2019
352,T0000022,Antimo,4/9/2019
353,T0000023,Anacetin,4/10/2019
354,T0000023,Vosea,4/10/2019
355,T0000023,OBH Combi Anak,4/10/2019
356,T0000023,Demacolin,4/10/2019
357,T0000023,Etambroxol,4/10/2019
358,T0000023,Caviplex,4/10/2019
359,T0000023,Cataflam,4/10/2019
360,T0000023,Beyalex,4/10/2019
361,T0000023,Molacort,4/10/2019
362,T0000023,Amoxcillin,4/10/2019
363,T0000023,Simuastatin,4/10/2019
364,T0000023,Ceterizin,4/10/2019
365,T0000023,Erlamycetin,4/10/2019
366,T0000023,Fitkom,4/10/2019
367,T0000023,Vitacimin,4/10/2019
368,T0000023,Farsipen,4/10/2019
369,T0000023,Termorex,4/10/2019
370,T0000023,Prog,4/10/2019
371,T0000023,Neurosonbe,4/10/2019
372,T0000023,Sanmol,4/10/2019
373,T0000023,Tespek,4/10/2019
374,T0000023,Imboost,4/10/2019
375,T0000023,Ketoconazol,4/10/2019
376,T0000023,Bey bey Fersen,4/10/2019
377,T0000023,Hufagrip,4/10/2019
378,T0000024,Caparcetin,4/11/2019
379,T0000024,Vitacimin,4/11/2019
380,T0000024,Methylpred,4/11/2019
381,T0000024,Mycoral,4/11/2019
382,T0000024,Cetirizin,4/11/2019
383,T0000024,Rivanol,4/11/2019
384,T0000024,Betadin,4/11/2019
385,T0000024,Madu 100% Royal Jelly,4/11/2019
386,T0000024,Oralit,4/11/2019
387,T0000024,Vosea,4/11/2019
388,T0000024,Combantrin,4/11/2019
389,T0000024,Molagit,4/11/2019
390,T0000024,Captopril,4/11/2019
391,T0000024,Caldium,4/11/2019
392,T0000024,Rohto,4/11/2019
393,T0000024,Parfum,4/11/2019
394,T0000024,Sangobion,4/11/2019
395,T0000024,Fargetik,4/11/2019
396,T0000024,Combiven,4/11/2019
397,T0000024,Nestacort Cream,4/11/2019
398,T0000024,Ambeven,4/11/2019
399,T0000024,Dehista,4/11/2019
400,T0000024,Dexanersen,4/11/2019
401,T0000024,Tespek,4/11/2019
402,T0000025,Anacetin,4/12/2019
403,T0000025,Masker,4/12/2019
404,T0000025,Vitacimin,4/12/2019
405,T0000025,Enervon-C,4/12/2019
406,T0000025,Vick Inhaler,4/12/2019
407,T0000025,Cataflam,4/12/2019
408,T0000025,Balsem Otot Geliga,4/12/2019
409,T0000025,Bioseven,4/12/2019
410,T0000025,Omeprazole,4/12/2019
411,T0000025,Sakatonik ABC,4/12/2019
412,T0000025,Flukadex,4/12/2019
413,T0000025,Ranitidin,4/12/2019
414,T0000025,Amocxillin,4/12/2019
415,T0000025,Fargetik,4/12/2019
416,T0000025,Prioxicam,4/12/2019
417,T0000025,Dexaharsen,4/12/2019
418,T0000025,Decolsin,4/12/2019
419,T0000025,Madu Tj,4/12/2019
420,T0000025,Imboost,4/12/2019
421,T0000025,CDR,4/12/2019
422,T0000026,Amoxcillin,4/13/2019
423,T0000026,Fasidol Forte,4/13/2019
424,T0000026,Caviplex,4/13/2019
425,T0000026,Zendoderin ,4/13/2019
426,T0000026,Fargetik,4/13/2019
427,T0000026,Decolsin,4/13/2019
428,T0000026,Kalpanak,4/13/2019
429,T0000026,Neoprotifed,4/13/2019
430,T0000026,Antangin,4/13/2019
431,T0000026,Teosal,4/13/2019
432,T0000026,Anacetin,4/13/2019
433,T0000026,Capsida,4/13/2019
434,T0000026,Vitacimin,4/13/2019
435,T0000026,Atopan,4/13/2019
436,T0000026,Yusimox,4/13/2019
437,T0000026,Gentamicin Cream,4/13/2019
438,T0000026,Antimo,4/13/2019
439,T0000026,Paracetamol,4/13/2019
