id_data,id_transaksi,item,tanggal
1,T000044,Masker,5/1/2019
2,T000044,Vitacimin,5/1/2019
3,T000044,Dexaharsen,5/1/2019
4,T000044,Amoxcillin,5/1/2019
5,T000044,Fg Troches,5/1/2019
6,T000044,Cetirizin,5/1/2019
7,T000044,Tespek,5/1/2019
8,T000045,Masker,5/2/2019
9,T000045,Mycoral,5/2/2019
10,T000045,Pimtrakol,5/2/2019
11,T000045,Licofel,5/2/2019
12,T000045,Wiros,5/2/2019
13,T000045,Livron,5/2/2019
14,T000045,Molacort,5/2/2019
15,T000045,Strepsil,5/2/2019
16,T000045,Sanmol,5/2/2019
17,T000046,Masker,5/3/2019
18,T000046,Vitacimin,5/3/2019
19,T000046,Mycoral,5/3/2019
20,T000046,Hufagrip,5/3/2019
21,T000046,Amoxcillin,5/3/2019
22,T000046,Licofel,5/3/2019
23,T000046,Promag,5/3/2019
24,T000046,Tespek,5/3/2019
25,T000046,Molacort,5/3/2019
26,T000046,Strepsil,5/3/2019
27,T000046,Teosal,5/3/2019
28,T000046,Baby Cough,5/3/2019
29,T000047,Masker ,5/4/2019
30,T000047,Vitacimin,5/4/2019
31,T000047,Dexaharsen,5/4/2019
32,T000047,Wiros,5/4/2019
33,T000047,Molacort,5/4/2019
34,T000048,Masker,5/5/2019
35,T000048,Vitacimin,5/5/2019
36,T000048,Pimtrakol,5/5/2019
37,T000048,Hufagrip,5/5/2019
38,T000048,Dexaharsen,5/5/2019
39,T000048,Licofel,5/5/2019
40,T000048,Promag,5/5/2019
41,T000048,Fg Troches,5/5/2019
42,T000048,Bodrex,5/5/2019
43,T000048,Baby Cough,5/5/2019
44,T000049,Masker,5/6/2019
45,T000049,Mycoral,5/6/2019
46,T000049,Promag,5/6/2019
47,T000049,Cetirizin,5/6/2019
48,T000049,Wiros,5/6/2019
49,T000049,Livron,5/6/2019
50,T000050,Masker,5/7/2019
51,T000050,Amoxcillin,5/7/2019
52,T000050,Vitacimin,5/7/2019
53,T000050,Dexaharsen,5/7/2019
54,T000050,Licofel,5/7/2019
55,T000050,Fg Troches,5/7/2019
56,T000050,Cetirizin,5/7/2019
57,T000050,Wiros,5/7/2019
58,T000051,Masker,5/8/2019
59,T000051,Vitacimin,5/8/2019
60,T000051,Mycoral,5/8/2019
61,T000051,Pimtrakol,5/8/2019
62,T000051,Hufagrip,5/8/2019
63,T000051,Amoxcillin,5/8/2019
64,T000051,Bodrex,5/8/2019
65,T000051,Cetirizin,5/8/2019
66,T000051,Tespek,5/8/2019
67,T000051,Teosal,5/8/2019
68,T000051,Sanmol,5/8/2019
69,T000052,Masker,5/9/2019
70,T000052,Vitacimin,5/9/2019
71,T000052,Mycoral,5/9/2019
72,T000052,Pimtrakol,5/9/2019
73,T000052,Hufagrip,5/9/2019
74,T000052,Amoxcillin,5/9/2019
75,T000052,Bodrex,5/9/2019
76,T000052,Promag,5/9/2019
77,T000052,Fg Troches,5/9/2019
78,T000052,Tespek,5/9/2019
79,T000053,Vitacimin,5/10/2019
80,T000053,Pimtrakol,5/10/2019
81,T000053,Hufagrip,5/10/2019
82,T000053,Dexaharsen,5/10/2019
83,T000053,Bodrex,5/10/2019
84,T000053,Livron,5/10/2019
85,T000053,Strepsil,5/10/2019
86,T000053,Teosal,5/10/2019
87,T000053,Baby Cough,5/10/2019
88,T000053,Sanmol,5/10/2019
