id_data,id_transaksi,item,tanggal
1,T000014,Amoxcillin,4/1/2019
2,T000014,Paracetamol,4/1/2019
3,T000014,Atmacid,4/1/2019
4,T000014,Sangobion,4/1/2019
5,T000014,Curvit,4/1/2019
6,T000014,Simuastatin,4/1/2019
7,T000014,Cataflam,4/1/2019
8,T000014,Voltadex,4/1/2019
9,T000014,Natur-E,4/1/2019
10,T000014,Vitacimin,4/1/2019
11,T000014,Enervon-C,4/1/2019
12,T000014,Wiros,4/1/2019
13,T000014,Novamox,4/1/2019
14,T000014,Grathazone,4/1/2019
15,T000015,Tespek,4/2/2019
16,T000015,Hufagrip,4/2/2019
17,T000015,Wiros,4/2/2019
18,T000015,Grathazone,4/2/2019
19,T000015,Novamox,4/2/2019
20,T000015,Yusimox,4/2/2019
21,T000015,Infus,4/2/2019
22,T000015,Ceterizin,4/2/2019
23,T000015,Rhamafar,4/2/2019
24,T000015,Vital,4/2/2019
25,T000015,Etamoxol,4/2/2019
26,T000015,Insto,4/2/2019
27,T000015,Potaflam,4/2/2019
28,T000015,Vicks,4/2/2019
29,T000015,Teosol,4/2/2019
30,T000015,Hufaqesi,4/2/2019
31,T000015,Dexanta,4/2/2019
32,T000015,Fulcadex,4/2/2019
33,T000015,Pimtrakol,4/2/2019
34,T000015,Spuit,4/2/2019
35,T000015,Mixalgin,4/2/2019
36,T000015,Andalan,4/2/2019
37,T000015,Alravit,4/2/2019
38,T000015,Novapiron,4/2/2019
39,T000015,Renabetic,4/2/2019
40,T000015,Farizol,4/2/2019
41,T000015,Farsifen,4/2/2019
42,T000015,Folxigra,4/2/2019
43,T000015,Citirizin,4/2/2019
44,T000015,Salbutamol,4/2/2019
45,T000015,Baby Cough,4/2/2019
46,T000015,Fasidol,4/2/2019
47,T000015,Cerzin,4/2/2019
48,T000015,Nestacort Cream,4/2/2019
49,T000015,Mexon,4/2/2019
50,T000015,Decolsin,4/2/2019
51,T000015,Alofar,4/2/2019
52,T000016,Neo Nafasin,4/3/2019
53,T000016,Mixagrip,4/3/2019
54,T000016,Mylanta,4/3/2019
55,T000016,Lacyo-B,4/3/2019
56,T000016,Neo Potified,4/3/2019
57,T000016,Vitacimin,4/3/2019
58,T000016,Imboost,4/3/2019
59,T000016,Hufagesix,4/3/2019
60,T000016,Madu Tj,4/3/2019
61,T000016,Hansaplas Rol,4/3/2019
62,T000016,Piroxicam,4/3/2019
63,T000016,Antangin,4/3/2019
64,T000017,Ana Konidin,4/4/2019
65,T000017,Jaguar,4/4/2019
66,T000017,Mycoral,4/4/2019
67,T000017,Vipcol,4/4/2019
68,T000017,Yusimox,4/4/2019
69,T000017,Novamox,4/4/2019
70,T000017,Baby Cough,4/4/2019
71,T000017,Lokev,4/4/2019
72,T000017,Grathazone,4/4/2019
73,T000017,Fasidol,4/4/2019
74,T000017,Hufanoxil,4/4/2019
75,T000017,Hufagrip,4/4/2019
76,T000017,Dextral,4/4/2019
77,T000017,Masker,4/4/2019
78,T000017,Zink Kid,4/4/2019
79,T000018,Farsiven,4/5/2019
80,T000018,Simvastatin,4/5/2019
81,T000018,Alovar,4/5/2019
82,T000018,Bronchitin,4/5/2019
83,T000018,Vitacimin,4/5/2019
84,T000018,Cataflam,4/5/2019
85,T000018,Ultrasilline,4/5/2019
86,T000018,Bevalex,4/5/2019
87,T000019,Atmacid ,4/6/2019
88,T000019,Revanol,4/6/2019
89,T000019,Madu Tj,4/6/2019
90,T000019,Vipcol,4/6/2019
91,T000019,Xendo Citrol,4/6/2019
92,T000019,Solinfec,4/6/2019
93,T000019,Vicine,4/6/2019
94,T000019,Hansaplas Rol,4/6/2019
95,T000019,Vitacimin,4/6/2019
96,T000019,Fitkom,4/6/2019
97,T000019,Yusimox,4/6/2019
98,T000019,Molacort,4/6/2019
99,T000019,Dehista,4/6/2019
100,T000019,OBH Combi,4/6/2019
101,T000019,Termo Digital,4/6/2019
102,T000019,Amlodipine,4/6/2019
103,T000019,Jaguar,4/6/2019
104,T000019,Bedak Herocyn,4/6/2019
105,T000019,Nestacort Cream,4/6/2019
106,T000019,Cetirizin,4/6/2019
107,T000019,Counterpain,4/6/2019
108,T000019,Pimtrakol,4/6/2019
109,T000019,Demacolin,4/6/2019
110,T000019,Telon Lang ,4/6/2019
111,T000019,Kapas,4/6/2019
112,T000019,Pagoda Salep,4/6/2019
113,T000019,Etabroxol,4/6/2019
114,T000019,Tespek,4/6/2019
115,T000019,Wiros,4/6/2019
116,T000019,Antangin,4/6/2019
117,T000019,Dexaharsen,4/6/2019
118,T000019,Fresh Care,4/6/2019
119,T000019,Baybey Piper,4/6/2019
120,T000019,Vipcol,4/6/2019
121,T000020,Urinbay,4/7/2019
122,T000020,Kasa Onemad,4/7/2019
123,T000020,Masker,4/7/2019
124,T000020,Lerzin,4/7/2019
125,T000020,Hufaxol,4/7/2019
126,T000020,Alkohol,4/7/2019
127,T000020,Itramol,4/7/2019
128,T000020,Cateter,4/7/2019
129,T000020,Tespek,4/7/2019
130,T000020,Vitacimin,4/7/2019
131,T000020,Madu Tj ,4/7/2019
132,T000020,Dexaharsen,4/7/2019
133,T000020,Hufagrip,4/7/2019
134,T000020,Simuastatin,4/7/2019
135,T000020,Salbutamol,4/7/2019
136,T000020,Mylanta,4/7/2019
137,T000020,Hufagesic,4/7/2019
138,T000020,Demacolin,4/7/2019
139,T000020,Paracetamol,4/7/2019
140,T000020,Hansaplas Rol,4/7/2019
141,T000020,Wiros,4/7/2019
142,T000020,Fasidol Forte,4/7/2019
143,T000020,Grantusif,4/7/2019
144,T000020,Amoxcillin,4/7/2019
145,T000020,Ranitidin,4/7/2019
146,T000020,Perban Rol,4/7/2019
147,T000020,Super Tetra,4/7/2019
148,T000020,Natur-E,4/7/2019
149,T000020,Mixagrip,4/7/2019
150,T000020,Procol,4/7/2019
151,T000020,Amox,4/7/2019
152,T000020,Fitkom,4/7/2019
153,T000020,Caviplex,4/7/2019
154,T000020,Balsem Otot Geliga,4/7/2019
155,T000021,Bokasi,4/8/2019
156,T000021,Amoxcillin,4/8/2019
157,T000021,Hufaxol,4/8/2019
158,T000021,Paracetamol,4/8/2019
159,T000021,Lokev,4/8/2019
160,T000021,Imboost,4/8/2019
161,T000021,Lerzin,4/8/2019
162,T000021,Masker,4/8/2019
163,T000021,Meloxicam,4/8/2019
164,T000021,Alofart,4/8/2019
165,T000021,Procold,4/8/2019
166,T000021,Siladek,4/8/2019
